neighbourhood_group,neighbourhood
,Binnenstad
,Bloemekenswijk
,Brugse Poort - Rooigem
,Dampoort
,Drongen
,Elisabethbegijnhof - Papegaai
,Gentbrugge
,Kanaaldorpen en -zone
,Ledeberg
,Macharius - Heirnis
,Mariakerke
,Moscou - Vogelhoek
,Muide - Meulestede - Afrikalaan
,Nieuw Gent - UZ
,Oostakker
,Oud Gentbrugge
,Rabot  - Blaisantvest
,Sint Amandsberg
,Sint Denijs Westrem
,Sluizeken - Tolhuis - Ham
,Stationsbuurt Noord
,Stationsbuurt Zuid
,Watersportbaan - Ekkergem
,Wondelgem
,Zwijnaarde
