neighbourhood_group,neighbourhood
,Amandus - Atheneum
,Borgerhout Extra Muros
,Borgerhout Intra Muros Noord
,Borgerhout Intra Muros Zuid
,Brederode
,Centraal Station
,Dam
,Deurne Dorp - Gallifort
,Deurne Noord
,Deurne Oost
,Deurne Vlieghaven
,Deurne Zuid Oost
,Deurne Zuid West
,Donk
,Eilandje
,Ekeren Centrum
,Groenenhoek
,Haringrode
,Harmonie
,Haven Antwerpen
,Haven Bezali
,Historisch Centrum
,Hoboken - Centrum
,Hoboken - Noord
,Hoboken - West
,Hoboken - Zuidoost
,Hoogte
,Kiel
,Koornbloem
,Kruininge - Bremweide
,Lambrechtshoeken
,Leugenberg
,Lillo
,Linkeroever
,Luchtbal
,Mariaburg
,Markgrave
,Merksem - Heide
,Middelheim
,Neerland
,Nieuwdreef
,Nieuw - Kwartier Oost
,Nieuw - Kwartier West
,Nieuw - Zuid
,Oosterveld - Elsdonk
,Oud - Berchem
,Oud - Merksem
,Petroleum - Zuid
,Polder
,Rivierenhof
,Schoonbroek-Rozemaai
,Sint-Andries
,Stadspark
,Stuivenberg
,Tentoonstellingswijk
,Theaterbuurt-Meir
,Tuinwijk
,Universiteitsbuurt
,Valaar
,Wilrijk Centrum
,Zuid
,Zurenborg
